number,value,datetime_start,datetime_complete,duration,params_linear_alpha,params_linear_solver,state
114,0.5652345679012345,2022-09-18 08:39:15.789084,2022-09-18 08:40:04.822708,0 days 00:00:49.033624,4817.071813686232,auto,COMPLETE
115,0.6456131687242798,2022-09-18 08:39:19.291911,2022-09-18 08:40:05.782678,0 days 00:00:46.490767,97830.20565448048,auto,COMPLETE
116,0.5818271604938272,2022-09-18 08:40:04.936632,2022-09-18 08:51:15.012396,0 days 00:11:10.075764,1690.4606279726083,sparse_cg,COMPLETE
117,0.5933497942386832,2022-09-18 08:40:05.842403,2022-09-18 08:51:09.017074,0 days 00:11:03.174671,691.3583986856662,sparse_cg,COMPLETE
118,0.5641316872427984,2022-09-18 08:41:08.532061,2022-09-18 08:52:01.576434,0 days 00:10:53.044373,10692.559924047977,sparse_cg,COMPLETE
119,0.5832592592592593,2022-09-18 08:41:27.613167,2022-09-18 08:52:43.886215,0 days 00:11:16.273048,1551.419249090941,sparse_cg,COMPLETE
120,0.583440329218107,2022-09-18 08:42:02.669920,2022-09-18 08:53:15.194009,0 days 00:11:12.524089,1530.370626416278,sparse_cg,COMPLETE
121,0.5828477366255145,2022-09-18 08:46:00.893150,2022-09-18 08:56:32.027640,0 days 00:10:31.134490,1578.0028732619637,sparse_cg,COMPLETE
122,0.5937283950617285,2022-09-18 08:48:02.232422,2022-09-18 08:57:40.563495,0 days 00:09:38.331073,666.6084437779316,sparse_cg,COMPLETE
123,0.5629958847736625,2022-09-18 08:49:05.765639,2022-09-18 08:49:43.338436,0 days 00:00:37.572797,9677.049722118663,cholesky,COMPLETE
124,0.5933004115226337,2022-09-18 08:49:43.419440,2022-09-18 08:50:24.320826,0 days 00:00:40.901386,711.8317243595346,cholesky,COMPLETE
125,0.5863539094650205,2022-09-18 08:50:24.475785,2022-09-18 08:51:01.562248,0 days 00:00:37.086463,1320.0739120366507,cholesky,COMPLETE
126,0.5645925925925925,2022-09-18 08:51:01.610168,2022-09-18 08:51:49.356341,0 days 00:00:47.746173,11583.148983604982,cholesky,COMPLETE
127,0.5640164609053497,2022-09-18 08:51:09.086358,2022-09-18 08:51:58.096029,0 days 00:00:49.009671,10911.583958870207,cholesky,COMPLETE
128,0.564954732510288,2022-09-18 08:51:15.088804,2022-09-18 08:52:14.540809,0 days 00:00:59.452005,11967.43901215471,cholesky,COMPLETE
