Index,Criterion,Min_Samples_Leaf,Min_Samples_Split,N_Estimators,Loss
158,0,2,0.039378834429256666,161,0.5690205761316872
159,0,18,0.2682789767870247,129,0.8179588477366255
160,0,6,0.2094032881043014,30,0.8603786008230453
161,0,3,0.07426751466209383,26,0.753679012345679
162,0,18,0.02892865865462469,117,0.5506337448559671
163,0,17,0.1804512532495734,147,0.7659588477366255
164,1,10,0.10312471533827515,113,0.7745185185185185
165,0,14,0.00029989546522288246,173,0.20874074074074067
166,0,11,0.12907680360252824,116,0.7232098765432099
167,0,19,0.22725881015440677,143,0.7893168724279835
168,0,16,0.014645355958543771,124,0.4887736625514403
169,0,9,0.08767140379180871,104,0.6860082304526749
170,1,13,0.9373538168179856,130,0.9998024691358025
171,0,12,0.5570210883523629,154,0.9198518518518518
172,0,8,0.06059345489372719,99,0.6437201646090536
173,0,10,0.15352057936485292,96,0.7504526748971193
174,0,12,0.9715596104905956,165,0.9998024691358025
175,1,11,0.28877879372728643,192,0.8432263374485597
176,0,14,0.13692446795138835,20,0.8394732510288065
177,0,16,0.003456701230165584,199,0.35339917695473255
178,0,15,0.7826736314871252,57,0.9998024691358025
179,0,18,0.10082063611352593,72,0.7242633744855966
180,0,17,0.02285344934881492,62,0.5611851851851852
181,1,16,0.0035483189190183414,179,0.45944032921810696
182,0,20,0.052062654861158436,189,0.5992757201646091
183,0,18,0.1786406473741731,158,0.7633415637860083
184,0,15,0.07685189017967536,169,0.6488559670781893
185,0,14,0.42763330177586767,197,0.8797695473251028
186,1,17,0.3440868883539251,184,0.8740740740740741
187,0,20,0.24326104507058038,150,0.7996543209876543
188,0,19,0.45806616030127856,174,0.8827489711934157
189,0,15,0.5014589417536558,177,0.9069465020576132
190,0,19,0.6440775474385151,138,0.9998024691358025
191,0,18,0.6754318518979662,160,0.9998024691358025
192,0,20,0.21413473023257826,147,0.7841810699588477
193,0,19,0.150912327546728281,161,0.849084322689239024
194,1,16,0.16464320122148257,155,0.8049382716049382
195,0,17,0.12030157047772963,168,0.702880658436214
196,0,16,0.7221349976177953,144,0.9998024691358025
197,0,17,0.3246161182520816,135,0.8407736625514404
198,0,18,0.005225008607979103,161,0.39283950617283947
199,0,19,0.05784603291027281,151,0.6189629629629629
